Configurazione,Modello,Accuracy,ROC-AUC,Precision,Recall,F1-Score
REAL,LR,0.73165,0.819635,0.310831,0.760787,0.441344
REAL,RF,0.857675,0.792103,0.468543,0.160136,0.238693
REAL,XGB,0.728398,0.821811,0.310005,0.774508,0.442782
REAL,MLP,0.713931,0.824121,0.301329,0.798699,0.437573
NO PRIVACY,LR,0.767325,0.805477,0.330736,0.654548,0.439432
NO PRIVACY,RF,0.848628,0.756132,0.413871,0.207667,0.276564
NO PRIVACY,XGB,0.785399,0.785779,0.340835,0.578441,0.428931
NO PRIVACY,MLP,0.777081,0.800975,0.337969,0.62569,0.438877
PRIVACY MODERATA,LR,0.729305,0.799287,0.302519,0.722167,0.426412
PRIVACY MODERATA,RF,0.847012,0.752138,0.358166,0.12378,0.183978
PRIVACY MODERATA,XGB,0.782521,0.731936,0.301651,0.42651,0.353376
PRIVACY MODERATA,MLP,0.746984,0.750154,0.285097,0.541236,0.373469
PRIVACY STRONG,LR,0.700213,0.735127,0.261555,0.631631,0.369925
PRIVACY STRONG,RF,0.857675,0.675741,0.224638,0.008771,0.016882
PRIVACY STRONG,XGB,0.773593,0.656909,0.248004,0.30754,0.274582
PRIVACY STRONG,MLP,0.708846,0.697752,0.245018,0.523554,0.333814
